ParName   Value   Gradient
MGparm[1]          0.1 -1.32534e-06
SR_parm[1]           12  5.68877e-06
recdev2(1992)      1.44358 -4.38649e-05
recdev2(1993)      1.17154 -4.45399e-05
recdev2(1994)      1.07043 -3.93493e-05
recdev2(1995)     0.710066 -3.19695e-05
recdev2(1996)     0.724039 -2.37734e-05
recdev2(1997)     0.559419 -2.66493e-05
recdev2(1998)     0.587621 -3.03857e-05
recdev2(1999)     0.239867 -2.94399e-05
recdev2(2000)    0.0344375 -1.43271e-05
recdev2(2001)   0.00597081 -2.94907e-05
recdev2(2002)  -0.00642841 -1.87077e-05
recdev2(2003)     0.117808 -2.28532e-05
recdev2(2004)     0.315866 -1.72991e-05
recdev2(2005)     0.192104 -1.78387e-05
recdev2(2006)     0.284412 -1.61069e-05
recdev2(2007)   -0.0619707  2.30001e-06
recdev2(2008)    -0.190042  2.33606e-07
recdev2(2009)   -0.0582135 -1.34341e-05
recdev2(2010)    -0.198725   2.6605e-06
recdev2(2011)    -0.340676 -1.99047e-06
recdev2(2012)    -0.231821    1.227e-05
recdev2(2013)    -0.159726 -9.02265e-06
recdev2(2014)     0.204248  1.08486e-05
recdev2(2015)   -0.0384711 -3.85371e-06
recdev2(2016)    0.0536447   2.5914e-06
recdev2(2017)   -0.0426228  4.54256e-06
recdev2(2018)   -0.0407695 -3.97092e-06
recdev2(2019)  -0.00689958 -3.41959e-06
recdev2(2020)  -0.00114977 -2.67807e-06
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Fcast_recruitments(2028)            0            0
Fcast_recruitments(2029)            0            0
Fcast_recruitments(2030)            0            0
Fcast_recruitments(2031)            0            0
Fcast_recruitments(2032)            0            0
Fcast_recruitments(2033)            0            0
Fcast_recruitments(2034)            0            0
Fcast_recruitments(2035)            0            0
Q_parm[1]     -9.81321  -6.0876e-06
Q_parm[2]     0.680619  4.25217e-05
selparm[1]      3.06335  1.43771e-05
selparm[2]      1.60159  6.14012e-07
selparm[3]      1.47324 -2.25595e-05
selparm[4]       0.8059  3.19945e-06
selparm[5]     0.408043  8.51149e-06
selparm[6]      1.40781 -5.65151e-06
