ParName   Value   Gradient
MGparm[1]     0.303668 -1.27636e-07
SR_parm[1]      14.2379  5.72172e-06
SR_parm[2]     0.767503 -5.51518e-08
SR_parm[3]      1.11283 -2.33067e-07
recdev1(1988)    -0.164236 -9.87799e-07
recdev1(1989)     0.281053 -7.71078e-08
recdev1(1990)     0.815263 -7.13771e-07
recdev1(1991)     0.963765  3.32306e-07
recdev1(1992)        1.051 -2.97058e-07
recdev1(1993)      1.12035 -2.71861e-06
recdev1(1994)      1.19025   8.4376e-07
recdev1(1995)     0.691362 -8.48344e-07
recdev1(1996)     0.789737  1.68571e-06
recdev1(1997)      0.42906  1.50473e-07
recdev1(1998)    -0.195164  1.40076e-06
recdev1(1999)    -0.741583  9.37173e-08
recdev1(2000)     -1.27555 -7.46829e-07
recdev1(2001)    -0.775911  8.58531e-07
recdev1(2002)    -0.481545  2.54613e-06
recdev1(2003)    -0.482339  1.02882e-07
recdev1(2004)    0.0538782 -1.65986e-06
recdev1(2005)    -0.124584  1.47167e-06
recdev1(2006)    -0.228976  7.39504e-07
recdev1(2007)    -0.533689 -1.36965e-06
recdev1(2008)    -0.567587 -1.41017e-06
recdev1(2009)    -0.303211 -1.40027e-06
recdev1(2010)     -0.25732 -1.91981e-06
recdev1(2011)    -0.129033  -8.0462e-07
recdev1(2012)    -0.105989 -2.99293e-07
recdev1(2013)    -0.066441 -5.75306e-07
recdev1(2014)     0.131291  7.29428e-08
recdev1(2015)     0.027392 -8.88365e-07
recdev1(2016)   -0.0612384 -1.71356e-07
recdev1(2017)    -0.280532 -8.63557e-07
recdev1(2018)    -0.327294 -9.75437e-07
recdev1(2019)     -0.23712 -6.94909e-07
recdev1(2020)    -0.205053 -8.65297e-07
Q_parm[1]    -0.513579  2.45624e-06
selparm[5]      4.09518  3.64897e-07
selparm[6]      1.62606 -3.85078e-07
selparm[7]      4.01267  -8.8958e-07
selparm[8]      1.64004   1.3975e-06
selparm[9]      1.37455 -8.59075e-09
selparm[10]     0.214596  9.18356e-09
selparm[11]    -0.156113  6.01685e-07
selparm[12]   -0.0586292 -1.33179e-07
selparm[13]   -0.0739926 -3.55675e-06
selparm[14]   -0.0639979  1.66045e-06
