ParName   Value   Gradient
MGparm[1]     0.254151 -3.03441e-06
SR_parm[1]      13.8514  5.44752e-05
SR_parm[2]     0.666861  2.75236e-06
SR_parm[3]        1.472  2.32514e-07
recdev1(1988)     0.134837 -3.60124e-07
recdev1(1989)     0.330566 -2.41908e-06
recdev1(1990)      0.69029 -6.16948e-07
recdev1(1991)     0.875825 -1.62961e-06
recdev1(1992)     0.980004 -9.40534e-07
recdev1(1993)     0.781977  8.39408e-07
recdev1(1994)     0.761021 -2.34577e-06
recdev1(1995)     0.341841 -7.32957e-08
recdev1(1996)     0.383901  6.44204e-07
recdev1(1997)    0.0727775     1.01e-06
recdev1(1998)   -0.0912874  8.54057e-06
recdev1(1999)    -0.515234  7.17308e-07
recdev1(2000)    -0.974748  2.06236e-06
recdev1(2001)    -0.882692  3.60296e-06
recdev1(2002)    -0.787678  4.33949e-06
recdev1(2003)     -0.57015 -4.50318e-06
recdev1(2004)   -0.0167355 -6.90641e-06
recdev1(2005)     0.142362  3.37926e-06
recdev1(2006)     0.236151   8.8913e-06
recdev1(2007)    -0.222817  3.05085e-06
recdev1(2008)    -0.372202 -1.38682e-06
recdev1(2009)    -0.167615  1.35862e-06
recdev1(2010)    -0.173917 -1.87959e-06
recdev1(2011)    -0.114535  -3.9599e-06
recdev1(2012)   0.00870517 -2.19787e-06
recdev1(2013)   -0.0407846 -6.89609e-07
recdev1(2014)     0.314962  4.85141e-07
recdev1(2015)    -0.150162  1.39479e-07
recdev1(2016)   -0.0733608 -5.86449e-07
recdev1(2017)    -0.344339 -1.33698e-06
recdev1(2018)    -0.259944 -1.51779e-06
recdev1(2019)    -0.167047 -1.77069e-06
recdev1(2020)    -0.129973 -1.84017e-06
Q_parm[1]     -10.4602  1.25863e-06
Q_parm[2]   -0.0112161   1.0591e-06
selparm[1]      3.14689 -2.31209e-07
selparm[2]      1.51236  1.48455e-07
selparm[3]      3.72742  7.01055e-08
selparm[4]      2.43036  2.04203e-07
selparm[5]      1.77963   5.3094e-07
selparm[6]     0.212531  1.88093e-07
selparm[7]     0.526181 -3.87855e-07
selparm[8]      1.33654 -9.22692e-08
selparm[9]     0.833481 -1.44954e-07
selparm[10]      1.55325  -1.9983e-07
