ParName   Value   Gradient
MGparm[1]     0.293789 -1.40372e-06
SR_parm[1]      14.0881  2.90745e-05
SR_parm[2]      0.62127   1.6127e-06
SR_parm[3]      1.32599  3.44761e-07
recdev1(1988)    0.0885068 -1.61496e-06
recdev1(1989)     0.421572 -2.12018e-06
recdev1(1990)     0.881384 -2.53591e-06
recdev1(1991)      1.07143 -3.41632e-06
recdev1(1992)      1.02929 -2.67927e-06
recdev1(1993)     0.962159 -5.84342e-07
recdev1(1994)     0.880299  1.60363e-06
recdev1(1995)     0.415917  2.07327e-06
recdev1(1996)     0.460193   1.5094e-06
recdev1(1997)     0.153334 -1.05273e-06
recdev1(1998)    -0.250301  8.92742e-07
recdev1(1999)    -0.652912  4.99565e-06
recdev1(2000)     -1.10665  4.23923e-06
recdev1(2001)    -0.884879  3.88492e-06
recdev1(2002)    -0.813098  1.21733e-06
recdev1(2003)    -0.678603 -3.97293e-06
recdev1(2004)    0.0285755  8.79076e-06
recdev1(2005)    0.0738965  6.82574e-06
recdev1(2006)     0.114671  5.75937e-06
recdev1(2007)    -0.314461 -1.76621e-07
recdev1(2008)    -0.503759 -6.51208e-06
recdev1(2009)    -0.227027 -7.60646e-06
recdev1(2010)    -0.139902 -1.73777e-06
recdev1(2011)    0.0562446 -9.17803e-07
recdev1(2012)     0.140112  -1.2595e-06
recdev1(2013)    -0.526345  3.74255e-06
recdev1(2014)     -0.42307  4.29348e-07
recdev1(2015)    -0.256575 -1.58518e-07
Q_parm[1]     -10.5192  2.78145e-07
Q_parm[2]    -0.063445 -6.83503e-06
selparm[1]      3.20105 -6.54581e-07
selparm[2]      1.57671  8.54224e-08
selparm[3]      3.76957  9.79889e-08
selparm[4]      2.60615 -3.38885e-07
selparm[5]      1.75545 -1.31989e-07
selparm[6]      1.65027 -6.39365e-07
selparm[7]     0.666237  7.52272e-07
selparm[8]      1.32685  2.91428e-07
selparm[9]      1.02756  5.40292e-07
selparm[10]      1.57356  3.48498e-07
