ParName   Value   Gradient
MGparm[1]     0.286379 -4.78617e-06
SR_parm[1]      13.9904  9.79814e-05
SR_parm[2]     0.681157   1.0764e-06
SR_parm[3]      1.38444 -2.57062e-07
recdev1(1988)     0.119839 -1.82022e-06
recdev1(1989)     0.455109 -1.57972e-06
recdev1(1990)     0.905293  9.84325e-07
recdev1(1991)       1.0802  3.43204e-06
recdev1(1992)      1.09764  6.16372e-06
recdev1(1993)       0.9863  7.23577e-06
recdev1(1994)      0.94732  8.68843e-06
recdev1(1995)     0.467297  5.56842e-06
recdev1(1996)     0.513492  7.86057e-06
recdev1(1997)     0.182553  8.91409e-06
recdev1(1998)    -0.179456  5.65311e-06
recdev1(1999)    -0.594435  3.38033e-06
recdev1(2000)     -1.07777  1.31787e-06
recdev1(2001)     -0.84895  1.58957e-06
recdev1(2002)    -0.753771  2.91606e-08
recdev1(2003)    -0.626332  -1.0436e-06
recdev1(2004)    -0.036704 -2.32355e-06
recdev1(2005)    0.0188859 -5.04409e-06
recdev1(2006)    0.0315127 -3.71003e-06
recdev1(2007)    -0.415439 -1.31316e-06
recdev1(2008)    -0.545929 -8.24885e-07
recdev1(2009)    -0.291859  3.18278e-07
recdev1(2010)    -0.220189 -1.66616e-06
recdev1(2011)   -0.0829235 -3.17781e-06
recdev1(2012)    0.0280493 -3.67938e-06
recdev1(2013)    0.0274282 -2.90934e-06
recdev1(2014)     0.304637 -2.49574e-06
recdev1(2015)   -0.0391078 -2.98373e-06
recdev1(2016)    -0.069837 -3.37649e-06
recdev1(2017)    -0.448432 -3.57369e-06
recdev1(2018)    -0.467709 -2.87484e-06
recdev1(2019)    -0.271762 -3.23538e-06
recdev1(2020)    -0.194951  -3.3271e-06
Q_parm[1]     -10.5085  -7.0555e-08
Q_parm[2]   -0.0873368  1.45825e-06
selparm[1]      3.22331 -2.95582e-07
selparm[2]      1.58242  1.09431e-07
selparm[3]      3.73036   2.7372e-08
selparm[4]      2.61155  1.38722e-07
selparm[5]      1.80996  7.16515e-07
selparm[6]     0.236976  2.56628e-07
selparm[7]     0.643625 -1.59187e-07
selparm[8]       1.3904  4.70265e-07
selparm[9]      1.03982 -1.65255e-07
selparm[10]      1.53568 -4.24883e-08
