ParName   Value   Gradient
MGparm[1]     0.296791  1.04292e-06
SR_parm[1]       14.002  1.81669e-05
SR_parm[2]     0.681402  2.73609e-06
SR_parm[3]      1.25244 -1.07871e-08
recdev1(1988)    -0.139034  -1.4888e-05
recdev1(1989)     0.287083 -1.35171e-05
recdev1(1990)     0.818155  9.95382e-07
recdev1(1991)      1.01254  1.68433e-06
recdev1(1992)     0.956462  3.95999e-06
recdev1(1993)      1.05235  4.76139e-06
recdev1(1994)      1.12146  6.34998e-06
recdev1(1995)     0.628597  4.84359e-06
recdev1(1996)     0.704862  4.37948e-06
recdev1(1997)     0.343588  5.29462e-06
recdev1(1998)    -0.236734  2.16371e-06
recdev1(1999)    -0.549548 -2.15561e-06
recdev1(2000)    -0.993391 -4.87645e-06
recdev1(2001)    -0.753642 -2.30311e-06
recdev1(2002)    -0.698125   7.3911e-06
recdev1(2003)    -0.688443  5.63822e-06
recdev1(2004)   -0.0273944  2.74198e-05
recdev1(2005)   -0.0805467  1.28638e-05
recdev1(2006)    -0.140833 -4.86768e-06
recdev1(2007)    -0.509548 -8.98694e-06
recdev1(2008)    -0.618001 -1.12834e-05
recdev1(2009)    -0.331593  -9.4205e-06
recdev1(2010)    -0.195543  3.10664e-06
recdev1(2011)    0.0355583  4.02637e-06
recdev1(2012)    0.0731636 -1.52582e-07
recdev1(2013)     0.038404 -3.71908e-06
recdev1(2014)     0.143119 -3.12306e-06
recdev1(2015)   -0.0139016  5.12074e-07
recdev1(2016)    -0.127856  4.89603e-06
recdev1(2017)    -0.403721  4.51215e-06
recdev1(2018)    -0.355654  2.94651e-06
recdev1(2019)    -0.174061  1.42962e-06
recdev1(2020)    -0.177772  2.76216e-07
Q_parm[1]    -0.267649  1.21112e-05
selparm[1]      3.96311  -4.8806e-06
selparm[2]      1.56216  2.58812e-06
selparm[3]      4.21671  2.60547e-06
selparm[4]      1.71714 -2.73978e-06
selparm[5]      1.23719 -9.16021e-07
selparm[6]      4.77503 -5.06298e-08
selparm[7]    -0.182002 -1.45659e-05
selparm[8]   -0.0696972  2.67021e-06
selparm[9]    -0.106438  8.40452e-06
selparm[10]   -0.0730805 -3.32525e-06
