ParName   Value   Gradient
MGparm[1]     0.298365 -3.51078e-06
SR_parm[1]      14.0084   8.9364e-05
SR_parm[2]     0.681327  4.47466e-06
SR_parm[3]      1.25073 -8.77501e-07
recdev1(1988)    -0.140491 -3.20333e-06
recdev1(1989)     0.283372 -2.44377e-06
recdev1(1990)     0.812455 -1.38963e-06
recdev1(1991)       1.0066 -2.76281e-06
recdev1(1992)     0.948122 -9.53302e-07
recdev1(1993)      1.03683   2.7897e-06
recdev1(1994)      1.10363  2.98073e-06
recdev1(1995)     0.625855   2.3488e-06
recdev1(1996)     0.735663  5.45768e-06
recdev1(1997)     0.379094  5.17158e-06
recdev1(1998)    -0.229915  3.63934e-06
recdev1(1999)    -0.554025  2.81276e-06
recdev1(2000)    -0.991957  2.07079e-06
recdev1(2001)    -0.751932  3.82585e-06
recdev1(2002)    -0.695845   2.4052e-06
recdev1(2003)    -0.687972  4.36931e-06
recdev1(2004)   -0.0277777  5.86737e-06
recdev1(2005)   -0.0807854  1.39591e-06
recdev1(2006)    -0.141079  1.50165e-06
recdev1(2007)    -0.510892  3.17401e-07
recdev1(2008)    -0.619077  -6.3755e-08
recdev1(2009)    -0.331205  1.11467e-06
recdev1(2010)    -0.193664  1.07265e-06
recdev1(2011)     0.035284   -1.028e-07
recdev1(2012)    0.0754756 -7.26652e-07
recdev1(2013)    0.0400742  -1.4871e-06
recdev1(2014)     0.142452 -2.97058e-06
recdev1(2015)   -0.0183101 -4.30702e-06
recdev1(2016)    -0.135321 -4.43236e-06
recdev1(2017)    -0.411316 -4.01424e-06
recdev1(2018)    -0.353783 -4.56676e-06
recdev1(2019)    -0.172247 -5.72096e-06
recdev1(2020)    -0.177314 -5.01982e-06
Q_parm[1]    -0.267245  1.97826e-05
selparm[1]      3.27368  2.41752e-07
selparm[2]      1.63593  2.98207e-08
selparm[3]      3.76562 -3.88778e-07
selparm[4]      2.70282  9.53355e-08
selparm[5]      1.27149  -5.6621e-07
selparm[6]      4.68004 -2.50111e-08
selparm[7]     0.742643 -8.48986e-09
selparm[8]      1.41866  6.08772e-08
selparm[9]      1.09696 -2.57196e-08
selparm[10]      1.56059  2.36156e-07
